id,tenant_id,business_name,parent_company,business_type,industry,website,phone,email,business_address,billing_address,shipping_address,notes,created_at,updated_at,business_record_type,customer_number,business_site,parent_business,activity,description,fax,next_call_back,billing_city,billing_state,billing_zip,shipping_city,shipping_state,shipping_zip,customer_since,employees,annual_revenue,number_of_locations,sic_code,product_services_interest,number_of_steps_rights,special_delivery_instructions,tax_state,elevator,created_by,business_owner,last_modified_by
0da755ff-fdfb-427c-86a0-89048997b8c8,550e8400-e29b-41d4-a716-446655440000,ABC Company,,,,,5555555555,,,,,,2025-08-01 04:06:08.599594,2025-08-01 04:06:08.599594,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
172fc58f-1bbb-4a52-84bf-4c87ac10819c,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 22:59:52.15266,2026-01-20 22:59:52.15266,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
1a26b468-a9ff-4ddc-8632-f1b3ae16d46a,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 23:00:20.965322,2026-01-20 23:00:20.965322,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
1a7ab3d0-7d7b-4036-a9dc-c47c086a0e1b,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 22:59:52.07992,2026-01-20 22:59:52.07992,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
428ced79-26e7-4469-995b-76128383250e,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 22:59:51.931852,2026-01-20 22:59:51.931852,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
47c520b8-cfd0-496d-9860-828d174af4cd,550e8400-e29b-41d4-a716-446655440000,Leadcompany (Migrated from lead-002),,,,,,sarah@leadcompany.com,,,,,2026-01-15 17:32:31.52834,2026-01-15 17:32:31.52834,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
4dfa408a-5985-4305-a2aa-c7f125c588f7,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 23:00:21.126564,2026-01-20 23:00:21.126564,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
550e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440000,Printyx,,SaaS Technology,Business Software,https://printyx.com,(555) 123-PRINTYX,info@printyx.com,"123 Tech Avenue, Software City, SC 12345",,,Main Printyx company - SaaS platform for copier dealers,2025-08-01 03:56:32.908836,2025-08-01 03:56:32.908836,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
5b341b93-1e28-40f7-8759-f39766aea55a,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 23:00:21.209028,2026-01-20 23:00:21.209028,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
5bcec4b9-ddc3-444f-b238-7b6802728e35,550e8400-e29b-41d4-a716-446655440000,Gmail (Migrated from lead-002),,,,,,pearsonperformance@gmail.com,,,,,2026-01-15 17:32:31.52834,2026-01-15 17:32:31.52834,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
5d9f5781-22ba-4267-9041-b1c988b05bea,550e8400-e29b-41d4-a716-446655440000,Leadcompany (Migrated from lead-001),,,,,,john.smith@leadcompany.com,,,,,2026-01-15 17:32:31.52834,2026-01-15 17:32:31.52834,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
638883f8-fec0-4609-9b64-7a6ac731aace,550e8400-e29b-41d4-a716-446655440000,test customer,,,,,5115515151,Test@test.com,,,,,2026-01-15 18:28:48.563,2026-01-15 18:28:48.563,Customer,,,,,,,,,,,,,,2026-01-15 18:28:48.563,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,,
679f04ce-122e-4d95-9add-57fb0575c342,550e8400-e29b-41d4-a716-446655440000,ABC Company,,,,,5555555555,,,,,,2025-08-01 04:06:03.059549,2025-08-01 04:06:03.059549,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
68b890c6-04e2-45b5-b305-64bd459a373b,550e8400-e29b-41d4-a716-446655440000,Gmail (Migrated from lead-001),,,,,,JohnS@gmail.com,,,,,2026-01-15 17:32:31.52834,2026-01-15 17:32:31.52834,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
